                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.1848,                 5.0568,                 4.6007,                      0,                      0,                      0,                      0,                 5.6654,                 4.2718,                 4.1305,                  0.091,                  0.001,                  0.001
                      1,                 4.7504,                 4.5313,                 4.3839,                      0,                      0,                      0,                      0,                 5.5898,                 4.2153,                 4.0614,               0.081058,              0.0020584,              0.0020584
                      2,                 4.1398,                 3.6483,                 3.8354,                      0,                      0,                      0,                      0,                 5.5371,                   4.19,                  4.017,               0.071073,              0.0030733,              0.0030733
                      3,                 3.5145,                 2.7762,                 3.3011,                      0,                      0,                      0,                      0,                 5.5181,                 4.1918,                 4.0001,               0.061045,              0.0040446,              0.0040446
                      4,                 2.7951,                 2.2577,                 2.6745,                      0,                      0,                      0,                      0,                 5.5129,                 4.2118,                 3.9982,               0.050972,              0.0049723,              0.0049723
                      5,                 2.4481,                 1.9683,                 2.4304,                      0,                      0,                      0,                      0,                 5.5181,                 4.2335,                 4.0017,               0.040857,              0.0058565,              0.0058565
                      6,                 2.3128,                 1.7352,                  2.205,                      0,                      0,                      0,                      0,                 5.4978,                 4.2306,                 3.9854,               0.030697,              0.0066971,              0.0066971
                      7,                 2.1797,                 1.7086,                 2.1346,                0.02265,                0.65463,                0.62997,                0.28255,                 2.6607,                 3.1114,                 3.1199,               0.020494,              0.0074942,              0.0074942
                      8,                 1.9942,                 1.4688,                 1.9221,                      1,                0.56319,                0.65645,                0.32862,                 1.9739,                 2.0146,                 2.4181,               0.010248,              0.0082477,              0.0082477
                      9,                 2.0151,                 1.5331,                   1.96,                0.98204,                0.62338,                0.77605,                0.36744,                 1.7845,                 1.2242,                 2.0158,               0.008218,               0.008218,               0.008218
