                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0327,                 5.1805,                 4.3162,                      0,                      0,                      0,                      0,                 5.1615,                 4.4163,                 4.1555,             0.00017148,             0.00017148,             0.00017148
                      2,                 4.4433,                  4.369,                 4.1294,                      0,                      0,                      0,                      0,                 5.1617,                 4.4215,                  4.156,             0.00035018,             0.00035018,             0.00035018
                      3,                  3.167,                  3.519,                 3.9629,                      0,                      0,                      0,                      0,                 5.1999,                   4.46,                 4.1779,             0.00052152,             0.00052152,             0.00052152
                      4,                  2.633,                 2.7163,                 3.4842,                      0,                      0,                      0,                      0,                 5.2114,                 4.4842,                 4.2058,              0.0006855,              0.0006855,              0.0006855
                      5,                 2.4737,                 2.2399,                 3.0136,                      0,                      0,                      0,                      0,                 5.1725,                 4.5026,                 4.2037,             0.00084213,             0.00084213,             0.00084213
                      6,                 2.2726,                 2.0495,                 2.7437,                      0,                      0,                      0,                      0,                  5.048,                 4.5203,                 4.1563,              0.0009914,              0.0009914,              0.0009914
                      7,                  2.221,                 1.7971,                 2.4404,                      0,                      0,                      0,                      0,                 5.0554,                 4.6266,                 4.1595,              0.0011333,              0.0011333,              0.0011333
                      8,                 2.1893,                 1.9004,                 2.2172,                      0,                      0,                      0,                      0,                 4.8865,                 4.6192,                 4.0559,              0.0012309,              0.0012309,              0.0012309
                      9,                 2.1841,                   1.74,                 2.1788,                      0,                      0,                      0,                      0,                 4.7837,                  4.612,                 3.9928,              0.0012026,              0.0012026,              0.0012026
                     10,                 2.0924,                 1.5221,                 2.1033,                0.57259,                0.02885,                0.20996,                0.04327,                 3.6693,                 3.0822,                 3.3099,              0.0011744,              0.0011744,              0.0011744
                     11,                 2.0097,                 1.4541,                 1.9871,                0.77666,                 0.6743,                0.69086,                0.21978,                 2.6527,                 1.5554,                 2.7305,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.9803,                 1.4948,                  1.984,                0.84782,                0.79266,                0.82086,                0.28755,                 2.1873,                 1.2283,                 2.3565,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.9101,                 1.3459,                 1.8459,                0.99009,                0.98007,                  0.995,                0.45976,                 1.8809,                 1.1571,                 2.1089,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.9334,                 1.3387,                 1.8308,                0.98133,                0.98931,                0.99481,                0.42882,                 1.9666,                 1.0529,                 2.1587,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.8914,                 1.2628,                 1.8258,                0.99693,                0.99348,                  0.995,                0.48029,                 1.7651,                 1.0177,                 1.9904,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.8342,                  1.268,                 1.7584,                0.96985,                0.98661,                0.99473,                0.55716,                 1.4853,                 1.1012,                 1.7583,              0.0010046,              0.0010046,              0.0010046
                     17,                  1.783,                 1.2103,                 1.6975,                0.99765,                0.98274,                  0.995,                0.56229,                 1.4414,                 1.2128,                 1.7033,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.7625,                 1.1865,                 1.7137,                0.93134,                0.96366,                0.99378,                0.59281,                 1.4032,                 1.0404,                 1.6684,               0.000948,               0.000948,               0.000948
                     19,                 1.6843,                 1.1449,                  1.647,                 0.9875,                0.98661,                0.99456,                0.60945,                 1.4449,                0.95337,                 1.6741,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.7094,                 1.1097,                 1.6234,                0.94809,                0.96875,                0.98769,                0.57786,                 1.5503,                 1.1064,                 1.7629,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.6272,                 1.0575,                 1.5654,                0.96814,                0.97768,                0.99244,                0.63582,                 1.2879,                0.92461,                 1.5639,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.6261,                 1.0326,                 1.5822,                0.90907,                0.97195,                0.98823,                0.63973,                 1.2951,                0.97794,                 1.5855,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.5559,                 1.0172,                 1.5494,                0.97455,                0.98661,                0.99112,                0.60019,                 1.2669,                0.90048,                 1.5521,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.5059,                0.98763,                  1.477,                0.95534,                0.98661,                 0.9911,                 0.6676,                 1.2074,                0.86324,                  1.476,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.5269,                0.98521,                 1.5023,                0.97149,                0.99554,                0.99374,                0.67308,                  1.333,                0.81853,                 1.5406,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.5772,                0.92713,                 1.5336,                0.98667,                0.99107,                0.99451,                0.71866,                 1.1403,                0.78449,                  1.461,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.4581,                 0.9534,                 1.5127,                0.97121,                 0.9783,                 0.9922,                0.68131,                 1.2415,                0.86355,                  1.507,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.3893,                0.88657,                 1.4463,                0.98161,                 0.9873,                0.99425,                0.73029,                 1.0486,                 0.7641,                  1.438,             0.00066506,             0.00066506,             0.00066506
                     29,                  1.384,                0.83579,                 1.4223,                0.99592,                0.99107,                0.99474,                0.72457,                 1.0616,                0.74062,                 1.4322,             0.00063676,             0.00063676,             0.00063676
                     30,                  1.364,                0.85523,                 1.3951,                0.99508,                0.99445,                  0.995,                0.72551,                  1.032,                0.75248,                 1.4061,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.3422,                0.81661,                 1.3882,                 0.9962,                0.98661,                0.99487,                0.75887,                0.93489,                0.66633,                 1.3487,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.2942,                0.76809,                 1.3475,                0.99378,                0.98661,                0.99487,                0.76688,                 0.9202,                0.66017,                 1.2768,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.2175,                0.75409,                 1.2967,                0.99494,                0.99107,                0.99455,                0.76127,                0.98858,                 0.6712,                 1.3185,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.2753,                0.76316,                 1.3375,                0.99733,                0.99107,                0.99487,                0.77522,                0.97981,                0.63815,                 1.3228,             0.00049529,             0.00049529,             0.00049529
