                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5042,                 4.9951,                 4.2945,                      0,                      0,                      0,                      0,                 5.7808,                 4.3704,                  4.155,             0.00017148,             0.00017148,             0.00017148
                      2,                 5.0146,                 4.3609,                 4.2082,                      0,                      0,                      0,                      0,                 5.7809,                 4.3686,                 4.1515,             0.00035018,             0.00035018,             0.00035018
                      3,                 3.9442,                 3.4754,                 4.0347,                      0,                      0,                      0,                      0,                 5.8255,                 4.4381,                 4.1813,             0.00052152,             0.00052152,             0.00052152
                      4,                 3.0226,                 2.6412,                   3.56,                      0,                      0,                      0,                      0,                 5.9069,                 4.5225,                 4.2625,              0.0006855,              0.0006855,              0.0006855
                      5,                 2.5836,                 2.0931,                 2.9794,                      0,                      0,                      0,                      0,                 5.9943,                 4.5782,                 4.3663,             0.00084213,             0.00084213,             0.00084213
                      6,                 2.3675,                 1.9931,                 2.6936,                      0,                      0,                      0,                      0,                 5.8895,                 4.5356,                 4.2986,              0.0009914,              0.0009914,              0.0009914
                      7,                 2.2264,                 1.8239,                 2.3882,                      0,                      0,                      0,                      0,                 5.8793,                 4.5617,                 4.3172,              0.0011333,              0.0011333,              0.0011333
                      8,                 2.1613,                 1.6193,                  2.147,                0.98805,                0.14749,                0.22429,                0.08396,                 3.8867,                 3.3148,                 3.5835,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.9804,                 1.5392,                 2.0142,                  0.994,                0.30088,                0.31731,                0.18135,                 2.9769,                 2.2946,                 2.8608,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.9215,                 1.4368,                 1.9345,                0.99883,                0.31858,                0.34126,                0.21021,                 2.4673,                 1.9615,                 2.5293,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.9129,                 1.4116,                 1.8623,                0.75341,                0.55441,                0.71874,                0.35206,                 1.8234,                 1.3209,                 2.1475,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.8602,                 1.3463,                 1.8109,                0.76581,                0.83669,                0.86316,                0.44868,                 1.5516,                 1.0212,                 1.8493,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.7733,                 1.2759,                  1.732,                0.90107,                0.84599,                0.90641,                0.46863,                 1.5823,                0.99561,                 1.7837,              0.0010895,              0.0010895,              0.0010895
                     14,                  1.715,                 1.1999,                 1.7101,                0.90422,                 0.8807,                0.95426,                0.53021,                 1.4226,                0.99978,                 1.6528,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.6244,                 1.1448,                 1.6273,                0.93802,                 0.9176,                0.96939,                0.54917,                 1.4822,                0.97826,                 1.6424,              0.0010329,              0.0010329,              0.0010329
                     16,                  1.612,                 1.0933,                 1.5788,                 0.9433,                0.88458,                0.95657,                 0.5828,                 1.3576,                0.99275,                 1.5442,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.5737,                 1.0501,                 1.5566,                0.85574,                 0.9358,                0.97305,                0.62159,                 1.2342,                0.88116,                 1.4395,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.5173,                 1.0023,                 1.4916,                0.93622,                0.91118,                0.96519,                0.60373,                  1.348,                0.84621,                 1.5249,               0.000948,               0.000948,               0.000948
                     19,                 1.4941,                0.99339,                 1.4869,                0.92165,                0.93254,                0.96786,                 0.6876,                 1.1859,                0.87125,                 1.4114,              0.0009197,              0.0009197,              0.0009197
                     20,                  1.488,                 0.9459,                 1.4775,                0.96519,                0.94602,                0.97662,                0.70783,                 1.0712,                0.79993,                 1.3554,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.4074,                0.87017,                 1.3964,                0.96584,                0.94191,                0.97877,                0.69883,                 1.1384,                0.76563,                   1.35,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.3924,                0.87553,                 1.3987,                0.93827,                0.94023,                0.96275,                0.66505,                 1.0762,                0.75425,                 1.3078,             0.00083482,             0.00083482,             0.00083482
                     23,                  1.379,                0.86634,                 1.3663,                0.99142,                0.97023,                0.99352,                0.68294,                 1.1926,                 0.6884,                  1.331,             0.00080653,             0.00080653,             0.00080653
