                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  5.299,                 5.4457,                 4.7261,                      0,                      0,                      0,                      0,                 5.7008,                 4.3279,                 4.1598,                 0.0991,                 0.0001,                 0.0001
                      1,                 4.9156,                 5.2555,                 4.8203,                      0,                      0,                      0,                      0,                 5.7007,                 4.3284,                 4.1599,               0.097297,             0.00029703,             0.00029703
                      2,                 5.1792,                 5.4698,                 4.7666,                      0,                      0,                      0,                      0,                 5.6994,                 4.3282,                 4.1575,                0.09549,              0.0004901,              0.0004901
                      3,                 4.9736,                 5.2653,                 4.8145,                      0,                      0,                      0,                      0,                 5.6965,                 4.3248,                 4.1539,               0.093679,             0.00067921,             0.00067921
                      4,                 5.2052,                 5.1587,                 4.7238,                      0,                      0,                      0,                      0,                 5.6819,                 4.3153,                  4.142,               0.091864,             0.00086436,             0.00086436
                      5,                 5.0487,                 5.1085,                 4.7081,                      0,                      0,                      0,                      0,                 5.6744,                 4.3087,                 4.1303,               0.090046,              0.0010455,              0.0010455
                      6,                 4.7202,                 5.0114,                 4.7404,                      0,                      0,                      0,                      0,                 5.6589,                 4.2975,                 4.1177,               0.088223,              0.0012228,              0.0012228
                      7,                 4.4548,                  4.787,                 4.6616,                      0,                      0,                      0,                      0,                  5.648,                  4.291,                 4.1059,               0.086396,               0.001396,               0.001396
                      8,                 4.7679,                 4.6638,                 4.3991,                      0,                      0,                      0,                      0,                 5.6405,                 4.2871,                    4.1,               0.084565,              0.0015654,              0.0015654
                      9,                 4.4011,                  4.463,                 4.4875,                      0,                      0,                      0,                      0,                 5.6384,                 4.2847,                 4.0951,               0.082731,              0.0017307,              0.0017307
                     10,                 3.9814,                 4.2235,                 4.4519,                      0,                      0,                      0,                      0,                 5.6292,                 4.2813,                 4.0904,               0.080892,              0.0018921,              0.0018921
                     11,                 4.3641,                 4.3095,                 4.3624,                      0,                      0,                      0,                      0,                 5.6251,                 4.2786,                 4.0865,                0.07905,              0.0020495,              0.0020495
                     12,                 4.1456,                 4.2828,                 4.2126,                      0,                      0,                      0,                      0,                 5.6233,                 4.2753,                 4.0819,               0.077203,               0.002203,               0.002203
                     13,                 3.7004,                  3.873,                 4.1193,                      0,                      0,                      0,                      0,                 5.6221,                  4.273,                 4.0784,               0.075353,              0.0023525,              0.0023525
                     14,                 4.4364,                  3.996,                 3.9739,                      0,                      0,                      0,                      0,                 5.6156,                 4.2712,                 4.0742,               0.073498,              0.0024981,              0.0024981
                     15,                  4.332,                 3.7514,                 3.8811,                      0,                      0,                      0,                      0,                 5.6105,                 4.2702,                 4.0694,                0.07164,              0.0026396,              0.0026396
                     16,                 4.0112,                 3.3924,                  3.756,                      0,                      0,                      0,                      0,                 5.6043,                 4.2675,                 4.0669,               0.069777,              0.0027773,              0.0027773
                     17,                 3.7674,                  3.477,                 3.7633,                      0,                      0,                      0,                      0,                  5.603,                   4.27,                 4.0645,               0.067911,              0.0029109,              0.0029109
                     18,                 3.8407,                 3.3439,                 3.5339,                      0,                      0,                      0,                      0,                 5.5998,                 4.2703,                 4.0614,               0.066041,              0.0030407,              0.0030407
                     19,                 3.9661,                 3.0836,                 3.3552,                      0,                      0,                      0,                      0,                 5.5952,                 4.2702,                 4.0589,               0.064166,              0.0031664,              0.0031664
