                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.1848,                 5.0568,                 4.6007,                      0,                      0,                      0,                      0,                 5.6654,                 4.2718,                 4.1305,                  0.091,                  0.001,                  0.001
                      1,                 4.7483,                 4.5627,                 4.3782,                      0,                      0,                      0,                      0,                 5.5891,                 4.2184,                 4.0606,               0.080996,               0.001996,               0.001996
                      2,                 4.2735,                 3.7824,                 3.9118,                      0,                      0,                      0,                      0,                 5.5335,                 4.1885,                 4.0136,               0.070883,              0.0028832,              0.0028832
                      3,                 3.7171,                 2.9776,                 3.4035,                      0,                      0,                      0,                      0,                 5.5052,                 4.1883,                  3.992,               0.060661,              0.0036614,              0.0036614
                      4,                 3.0158,                 2.3386,                   2.79,                      0,                      0,                      0,                      0,                 5.4963,                 4.2038,                 3.9852,               0.050331,              0.0043308,              0.0043308
                      5,                 2.5541,                 2.0457,                 2.5214,                      0,                      0,                      0,                      0,                 5.5019,                 4.2255,                  3.988,               0.039891,              0.0048912,              0.0048912
                      6,                 2.3052,                   1.77,                 2.2098,                      0,                      0,                      0,                      0,                 5.4909,                 4.2276,                 3.9788,               0.029343,              0.0053428,              0.0053428
                      7,                 2.1215,                 1.6477,                 2.1417,                0.00395,                0.07778,                0.00739,                0.00094,                 4.8814,                 3.7698,                 3.5407,               0.018685,              0.0056854,              0.0056854
                      8,                 1.9656,                 1.4341,                  1.915,                0.99932,                 0.3213,                0.84241,                0.50761,                 2.0169,                 2.0216,                 2.5142,              0.0079192,              0.0059192,              0.0059192
                      9,                 1.9281,                  1.534,                 1.9641,                0.79877,                0.55487,                0.83755,                0.32597,                 2.1529,                 1.6136,                  2.408,               0.005545,               0.005545,               0.005545
                     10,                 1.8406,                 1.3375,                  1.816,                0.99142,                0.92143,                0.96889,                0.44744,                 2.0134,                  1.583,                 2.0717,               0.005545,               0.005545,               0.005545
                     11,                 1.6965,                 1.3133,                 1.6918,                0.91608,                0.92368,                0.97754,                0.54639,                 1.3783,                 1.0937,                 1.7626,                0.00505,                0.00505,                0.00505
                     12,                  1.529,                 1.1457,                  1.563,                0.96684,                0.91957,                0.97481,                 0.6201,                 1.2086,                0.97216,                 1.5308,               0.004555,               0.004555,               0.004555
                     13,                 1.4331,                 1.1001,                 1.5162,                0.98588,                0.94259,                0.97906,                0.63733,                 1.3796,                  1.006,                 1.5679,                0.00406,                0.00406,                0.00406
                     14,                 1.3018,                0.98904,                 1.4222,                0.98471,                0.94037,                0.97236,                 0.7228,                 1.0178,                0.84485,                 1.3786,               0.003565,               0.003565,               0.003565
                     15,                 1.2397,                 0.9876,                 1.3747,                0.98511,                 0.9537,                0.97932,                0.74058,                0.98851,                0.84134,                 1.3107,                0.00307,                0.00307,                0.00307
                     16,                 1.1443,                0.95524,                 1.3334,                0.93721,                0.84914,                 0.9702,                0.76247,                0.81581,                0.79484,                 1.2194,               0.002575,               0.002575,               0.002575
                     17,                 1.0495,                0.89626,                 1.2508,                0.99319,                0.95952,                0.98084,                0.80697,                0.75387,                0.80782,                 1.1783,                0.00208,                0.00208,                0.00208
                     18,                 1.0415,                0.92877,                 1.2478,                 0.9934,                0.95997,                0.98402,                0.81684,                0.73181,                0.81336,                 1.1563,               0.001585,               0.001585,               0.001585
                     19,                0.96762,                0.87098,                 1.2157,                0.99534,                0.96565,                 0.9831,                0.84917,                0.65211,                0.67499,                 1.0616,                0.00109,                0.00109,                0.00109
